ndb_no,shrt_desc,water_g,energ_kcal,protein_g,lipid_tot_g,ash_g,carbohydrt_g,fiber_td_g,sugar_tot_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_ug,vit_c_mg,thiamin_mg,riboflavin_mg,niacin_mg,panto_acid_mg,vit_b6_mg,folate_tot_ug,folic_acid_ug,food_folate_ug,folate_dfe_ug,choline_tot_mg,vit_b12_ug,vit_a_iu,vit_a_rae,retinol_ug,alpha_carot_ug,beta_carot_ug,beta_crypt_ug,lycopene_ug,lut_zea_ug,vit_e_mg,vit_d_ug,vit_d_iu,vit_k_ug,fa_sat_g,fa_mono_g,fa_poly_g,cholestrl_mg,gmwt_1,gmwt_desc1,gmwt_2,gmwt_desc2,refuse_pct
5186,"TURKEY,ALL CLASSES,LT MEAT,CKD,RSTD",67.88,147,30.13,2.08,1.22,0,0,0,9,0.71,32,230,249,99,1.72,0.063,0.011,30.2,0,0.035,0.205,11.75,0.9,0.807,10,0,10,10,83.4,0.37,11,3,3,0,0,0,0,0,0.06,0.3,10,0,0.593,0.626,0.528,80,85,1 serving,,,27
5187,"Turkey from whole, dark meat, meat only, raw",76.01,108,21.28,2.5,1.03,0.15,0,0.1,11,1.04,25,176,226,124,2.59,0.092,0.014,22.4,0,0.062,0.255,5.696,0.935,0.44,7,0,7,7,69.6,2.05,43,13,13,0,0,0,0,0,0.12,0.3,13,0,0.683,0.756,0.613,79,85,1 serving,,,48
5188,"TURKEY,FROM WHL,DK MEAT,CKD,RSTD",65.23,173,27.71,6.04,1.12,0,0,0,17,1.43,27,212,227,104,3.51,0.127,0.016,31.4,0,0.06,0.375,6.685,1.015,0.438,9,0,9,9,95.8,1.65,18,5,5,0,0,0,0,0,0.07,0.3,10,0,1.807,2.061,1.662,128,85,1 serving,,,46
5190,"TURKEY,ALL CLASSES,BACK,MEAT&SKN,CKD,RSTD",57.94,244,26.59,14.38,0.93,0.16,0,0,33,2.19,22,189,260,73,3.92,0.142,0.023,37.8,0,0.054,0.224,3.446,1.073,0.3,8,0,8,8,67.6,0.34,0,0,0,0,0,0,0,0,0.59,0,1,4.5,4.18,5,3.7,91,140,"1 cup, chopped or diced",262,".5 back, bone removed",41
1113,"WHEY,ACID,DRIED",3.51,339,11.73,0.54,10.77,73.45,0,73.45,2054,1.24,199,1349,2289,968,6.31,0.05,0.015,27.3,0.9,0.622,2.06,1.16,5.632,0.62,33,0,33,33,225,2.5,59,17,17,0,1,0,0,0,0,0,0,0,0.342,0.149,0.021,3,57,1 cup,2.9,1 tbsp,0
5191,"TURKEY,ALL CLASSES,BREAST,MEAT&SKN,RAW",70.05,157,21.89,7.02,0.91,0,0,,13,1.2,24,186,275,59,1.57,0.074,0.018,22.4,0,0.058,0.115,5.2,0.621,0.48,7,0,7,7,,0.42,6,2,2,,,,,,,,,,1.91,2.66,1.66,65,146,"1 unit,  (yield from 1 lb ready-to-cook turkey)",1132,".5 breast, bone removed",10
5192,"TURKEY,ALL CLASSES,BREAST,MEAT&SKN,CKD,RSTD",63.22,189,28.71,7.41,1.03,0,0,,21,1.4,27,210,288,63,2.03,0.047,0.02,29.1,0,0.057,0.131,6.365,0.634,0.48,6,0,6,6,,0.36,0,0,0,,,,,,,,,,2.1,2.45,1.8,74,112,"1 unit,  (yield from 1 lb ready-to-cook turkey)",864,".5 breast, bone removed",8
5193,"TURKEY,ALL CLASSES,LEG,MEAT&SKN,RAW",72.69,144,19.54,6.72,0.89,0,0,,17,1.72,21,177,273,74,3.09,0.142,0.022,26.4,0,0.077,0.211,2.947,1.09,0.34,10,0,10,10,,0.39,3,1,1,,,,,,,,,,2.06,2.06,1.83,71,105,"1 unit,  (yield from 1 lb ready-to-cook turkey)",816,"1 leg, bone removed",17
5194,"TURKEY,ALL CLASSES,LEG,MEAT&SKN,CKD,RSTD",61.19,208,27.87,9.82,0.99,0,0,0,32,2.3,23,199,280,77,4.27,0.154,0.023,37.8,0,0.06,0.241,3.561,1.205,0.33,9,0,9,9,70.8,0.36,0,0,0,0,0,0,0,0,0.62,0.1,4,0,3.06,2.87,2.72,85,71,"1 unit,  (yield from 1 lb ready-to-cook turkey)",546,"1 leg, bone removed",19
5195,"TURKEY,ALL CLASSES,WING,MEAT&SKN,RAW",66.49,197,20.22,12.32,0.81,0,0,,14,1.26,21,165,240,55,1.54,0.077,0.017,22.4,0,0.05,0.11,4.425,0.554,0.41,7,0,7,7,,0.39,11,3,3,,,,,,,,,,3.28,4.97,2.86,70,33,"1 unit,  (yield from 1 lb ready-to-cook turkey)",256,"1 wing, bone removed",33
5196,"TURKEY,ALL CLASSES,WING,MEAT&SKN,CKD,RSTD",59.49,229,27.38,12.43,0.97,0,0,0,24,1.46,25,197,266,61,2.1,0.056,0.02,29.9,0,0.05,0.134,5.732,0.584,0.42,6,0,6,6,68.6,0.34,0,0,0,0,0,0,0,0,0.17,0.1,4,0,3.39,4.66,2.94,81,24,"1 unit,  (yield from 1 lb ready-to-cook turkey)",186,"1 wing, bone removed",34
5200,"TURKEY,FRYER-ROASTERS,MEAT&SKN,CKD,RSTD",65.76,172,28.26,5.72,0.99,0,0,0,22,1.95,25,198,250,66,2.89,0.146,0.024,33.8,0,0.043,0.183,4.922,0.903,0.42,7,0,7,7,69.7,0.37,0,0,0,0,0,0,0,0,0.35,0,1,0.8,1.65,1.96,1.45,105,85,3 oz,808,".5 turkey, bone removed",25
5215,"TURKEY,BACK FROM WHL BIRD,MEAT ONLY,RAW",76.01,113,21.28,2.5,1.03,0.15,0,0.1,11,1.04,25,176,226,124,2.59,0.092,0.014,22.4,0,0.062,0.255,5.696,0.935,0.44,,0,,,,2.05,43,13,13,0,0,0,0,0,0.12,0.3,13,0,,,,79,114,4 oz,1124,1 back,62
5216,"TURKEY,BACK,FROM WHL BIRD,MEAT ONLY,RSTD",65.23,173,27.71,6.04,1.12,0,0,0,17,1.43,27,212,227,104,3.51,0.127,0.016,31.4,0,0.06,0.375,6.685,1.015,0.438,9,0,9,9,95.8,1.65,18,5,5,0,0,0,0,0,0.07,0.3,10,0,1.807,2.061,1.662,128,85,3 oz,911,1 back,42
5219,"TURKEY,BREAST,FROM WHL BIRD,MEAT ONLY,RAW",74.89,114,23.66,1.48,1.04,0.14,0,0.05,11,0.73,28,201,242,113,1.28,0.07,0.011,22.7,0,0.042,0.145,9.924,0.775,0.813,7,0,7,7,61.3,0.63,20,6,6,0,0,0,0,0,0.06,0.1,5,0,0.289,0.264,0.258,57,114,4 oz,1769,1 breast,22
1114,"WHEY,SWEET,FLUID",93.12,27,0.85,0.36,0.53,5.14,0,5.14,47,0.06,8,46,161,54,0.13,0.004,0.001,1.9,0.1,0.036,0.158,0.074,0.383,0.031,1,0,1,1,16,0.28,12,3,3,0,1,0,0,0,0,,,0,0.23,0.1,0.011,2,246,1 cup,984,1 quart,0
5220,"TURKEY,BREAST,FROM WHL BIRD,MEAT ONLY,RSTD",67.88,147,30.13,2.08,1.22,0,0,0,9,0.71,32,230,249,99,1.72,0.063,0.011,30.2,0,0.035,0.205,11.75,0.9,0.807,9,0,9,9,84.4,0.39,11,3,3,0,0,0,0,0,0.06,0.3,10,0,0.593,0.626,0.528,80,85,3 oz,1413,1 breast,19
5227,"TURKEY,WING,FROM WHL BIRD,MEAT ONLY,RAW",74.89,114,23.66,1.48,1.04,0.14,0,0.05,11,0.73,28,201,242,113,1.28,0.07,0.011,22.7,0,0.042,0.145,9.924,0.775,0.813,7,0,7,7,,0.63,20,6,6,0,0,0,0,0,0.06,0.1,5,,0.289,0.264,0.258,57,85,3 oz,346,1 wing,60
5228,"TURKEY,WING,FROM WHL BIRD,MEAT ONLY,RSTD",67.88,147,30.13,2.08,1.22,0,0,0,9,0.71,32,230,249,99,1.72,0.063,0.011,30.2,0,0.035,0.205,11.75,0.9,0.807,10,0,10,10,84.7,0.81,11,3,3,0,0,0,0,0,0.06,0.3,10,0,0.593,0.626,0.528,80,85,3 oz,213,1 wing,59
5236,"TURKEY,YOUNG HEN,SKN ONLY,CKD,RSTD",35.53,482,19.03,44.45,0.63,0,0,,32,1.82,15,133,155,44,2.06,0.078,0.022,144.1,0,0.021,0.133,2.801,0.297,0.07,4,0,4,4,,0.24,0,0,0,,,,,,,,,,11.59,18.94,10.18,106,31,"1 unit,  (yield from 1 lb ready-to-cook turkey)",196,".5 turkey, skin only",0
5277,"CHICKEN,CND,MEAT ONLY,W/BROTH",68.65,165,21.77,7.95,1.81,0,0,0,14,1.58,12,111,138,503,1.41,0.046,0.015,15.8,2,0.015,0.129,6.329,0.85,0.35,4,0,4,4,64,0.29,117,34,34,0,0,0,0,0,0.26,0.1,5,1.8,2.2,3.15,1.75,62,142,"1 can,  (5 oz)",,,0
5282,"PATE DE FOIE GRAS,CND (GOOSE LIVER PATE),SMOKED",37.04,462,11.4,43.84,3.05,4.67,0,,70,5.5,13,200,138,697,0.92,0.4,0.12,44,2,0.088,0.299,2.51,1.2,0.06,60,0,60,60,,9.4,3333,1001,1001,,,,,,,,,,14.45,25.61,0.84,150,13,1 tbsp,28.35,1 oz,0
5284,"TURKEY,CND,MEAT ONLY,W/BROTH",66.07,169,23.68,6.86,1.92,1.47,0,0,12,1.86,20,162,224,518,2.37,0.074,0.017,25.9,2,0.014,0.171,6.622,0.686,0.33,6,0,6,6,74,0.28,0,0,0,0,0,0,0,0,0.27,0.3,11,0.7,2,2.26,1.75,66,135,"1 cup,  drained",142,"1 can,  (5 oz)",0
5285,"TURKEY,DICED,LT&DK MEAT,SEASONED",71.7,138,18.7,6,2.6,1,0,,1,1.8,17,240,310,850,2.02,0.063,0.013,26.1,0,0.04,0.11,4.8,0.589,0.28,5,0,5,5,,0.24,0,0,0,,,,,,,,,,1.75,1.98,1.53,55,28.35,1 oz,227,.5 lb,0
5286,"TURKEY AND GRAVY,FROZEN",85.07,67,5.88,2.63,1.81,4.61,0,,14,0.93,8,81,61,554,0.7,0.022,0.005,19.2,0,0.024,0.127,1.799,0.213,0.1,4,0,4,4,,0.24,42,13,13,,,,,,,,,,0.85,0.97,0.47,18,85,3 oz,142,"1 package,  (net weight, 5 oz)",0
5293,"TURKEY BREAST,PRE-BASTED,MEAT&SKN,CKD,RSTD",70.91,126,22.16,3.46,2.06,0,0,,9,0.66,21,214,248,397,1.53,0.041,0.015,25.7,0,0.053,0.133,9.067,0.489,0.32,5,0,5,5,,0.32,0,0,0,,,,,,,,,,0.98,1.14,0.84,42,85,3 oz,864,".5 breast, bone removed",8
1115,"WHEY,SWEET,DRIED",3.19,353,12.93,1.07,8.35,74.46,0,74.46,796,0.88,176,932,2080,1079,1.97,0.07,0.009,27.2,1.5,0.519,2.208,1.258,5.62,0.584,12,0,12,12,225,2.37,30,8,8,0,2,0,0,0,0.02,0,0,0.1,0.684,0.297,0.034,6,145,1 cup,7.5,1 tbsp,0
5294,"TURKEY THIGH,PRE-BASTED,MEAT&SKN,CKD,RSTD",70.6,157,18.8,8.54,2.06,0,0,,8,1.51,17,171,241,437,4.12,0.139,0.015,27.9,0,0.083,0.255,2.409,0.812,0.23,6,0,6,6,,0.24,0,0,0,,,,,,,,,,2.65,2.53,2.35,62,85,3 oz,314,"1 thigh, bone removed",13
5295,"TURKEY RST,BNLESS,FRZ,SEASONED,LT&DK MEAT,RAW",70.4,120,17.6,2.2,3.4,6.4,0,,1,2.1,20,158,360,678,1.91,0.088,0.017,26.5,0,0.04,0.12,4.4,0.733,0.38,7,0,7,7,,0.35,0,0,0,,,,,,,,,,0.73,0.47,0.64,53,85,3 oz,1134,"1 box,  (net weight, 2.5 lb)",0
5300,"TURKEY STKS,BREADED,BATTERED,FRIED",49.4,279,14.2,16.9,2.5,17,,,14,2.2,15,234,260,838,1.46,0.073,0.083,20.7,0,0.1,0.18,2.1,0.533,0.2,29,20,9,43,,0.23,40,12,12,,,,,,,,,,4.38,6.92,4.39,64,64,"1 stick,  (2.25 oz)",,,0
5301,"POULTRY,MECHANICALLY DEBONED,FROM BACKS&NECKS W/SKN,RAW",62.66,272,11.39,24.73,0.96,0,0,,138,1.57,12,132,104,40,1.29,0.065,0.019,10.7,1.5,0.05,0.129,4.63,0.824,0.19,6,0,6,6,,0.25,245,74,74,,,,,,,,,,7.45,10.44,4.96,130,227,.5 lb,,,0
5302,"POULTRY,MECHANICALLY DEBONED,FROM BACKS&NECKS WO/SKN,RAW",69.29,199,13.79,15.48,1,0,0,,123,1.73,13,154,128,51,1.82,0.069,0.02,14.4,3,0.071,0.175,6.246,1.202,0.32,9,0,9,9,,0.35,107,32,32,,,,,,,,,,4.71,7.41,2.28,104,227,.5 lb,,,0
5303,"POULTRY,MECHANICALLY DEBONED,FROM MATURE HENS,RAW",62.95,243,14.72,19.98,1.15,0,0,,187,1.22,12,132,104,40,1.9,0.065,0.019,15.7,2,0.096,0.14,5.254,0.772,0.28,5,0,5,5,,0.27,149,45,45,,,,,,,,,,4.73,9.3,4.55,143,227,.5 lb,,,0
5304,"TURKEY,MECHANICALLY DEBONED,FROM TURKEY FRAMES,RAW",69.09,201,13.29,15.96,1.1,0,0,,145,1.61,13,115,173,48,2.9,0.093,0.015,26.5,0,0.048,0.134,1.969,0.673,0.21,7,0,7,7,,0.26,0,0,0,,,,,,,,,,5.31,5.02,4.51,95,227,.5 lb,,,0
5305,"GROUND TURKEY,RAW",72.36,148,19.66,7.66,1,0,0,0,19,1.09,23,200,237,58,2.35,0.096,0.008,21.9,0,0.066,0.156,6.733,0.993,0.564,7,0,7,7,50.8,1,66,20,20,0,0,0,0,0,0.09,0.4,14,0,2.024,2.635,2.205,69,453.6,1 lb,114,"1 patty,  4 oz",0
5306,"GROUND TURKEY,CKD",62.07,203,27.37,10.4,1.26,0,0,0,28,1.52,30,254,294,78,3.11,0.151,0.011,31.1,0,0.077,0.211,8.724,1.193,0.633,7,0,7,7,78.2,1.34,79,24,24,0,0,0,0,0,0.11,0.2,8,0,2.669,3.458,2.917,93,82,"1 patty,  (4 oz, raw) (yield after cooking)",330,"1 unit,  yield from 1 lb raw",0
5307,"CHICKEN,CORNISH GAME HENS,MEAT&SKN,RAW",68.18,200,17.15,14.02,0.8,0,0,0,11,0.78,18,140,236,61,1.15,0.049,0.016,11.8,0.5,0.073,0.17,5.675,0.609,0.295,3,0,3,3,,0.33,108,32,32,0,0,0,0,0,0.28,,,2.4,3.89,6.16,2.77,101,85,3 oz,168,.5 bird,39
1116,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",87.9,61,3.47,3.25,0.72,4.66,0,4.66,121,0.05,12,95,155,46,0.59,0.009,0.004,2.2,0.5,0.029,0.142,0.075,0.389,0.032,7,0,7,7,15.2,0.37,99,27,27,0,5,0,0,0,0.06,0.1,2,0.2,2.096,0.893,0.092,13,170,"1 container,  (6 oz)",227,"1 container,  (8 oz)",0
5308,"CHICKEN,CORNISH GAME HENS,MEAT&SKN,CKD,RSTD",58.68,259,22.27,18.21,1.04,0,0,0,13,0.91,18,146,245,64,1.49,0.061,0.015,15.5,0.5,0.067,0.199,5.897,0.593,0.307,2,0,2,2,56.5,0.28,106,32,32,0,0,0,0,0,0.36,0.1,2,2.4,5.05,8,3.6,131,85,3 oz,129,.5 bird,37
5309,"CHICKEN,CORNISH GAME HENS,MEAT ONLY,RAW",75.84,116,20.04,3.33,0.9,0,0,0,12,0.74,21,160,269,68,1.31,0.053,0.017,15.8,0.6,0.092,0.216,6.744,0.636,0.385,3,0,3,3,,0.4,75,22,22,0,0,0,0,0,0.21,,,2.4,0.85,1.07,0.81,91,85,3 oz,120,.5 bird,57
5310,"CHICKEN,CORNISH GAME HENS,MEAT ONLY,CKD,RSTD",71.9,134,23.3,3.87,1.04,0,0,0,13,0.77,19,149,250,63,1.53,0.059,0.015,20.8,0.6,0.075,0.227,6.273,0.555,0.358,2,0,2,2,66.3,0.3,65,20,20,0,0,0,0,0,0.24,0.1,5,2.4,0.99,1.24,0.94,106,85,3 oz,110,.5 bird,46
5311,"CHICKEN,CANNED,NO BROTH",64.9,185,25.3,8.1,0.8,0.9,0,0,14,1.3,19,153,153,482,2.5,0.05,,18.4,0,0,0.1,2.4,,0.19,2,0,2,2,73.8,1,177,53,53,0,0,0,0,0,0.32,0.1,5,2.3,2.25,3.279,1.978,50,28,1 oz,205,1 cup,0
5312,"CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV",61.79,211,19.67,12.67,2.53,3.34,0.6,2.04,28,2.41,20,205,190,615,1.14,0.039,0,33.2,0,0.074,0.242,5.5,0.545,0.142,10,0,10,10,,0.4,58,17,17,0,0,0,0,0,0.36,,,,3.321,5.766,2.359,126,29,1 piece,86,1 serving,33
5313,"CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV,HTD (MICROWAVE)",53.89,248,25.34,13.9,3.04,3.84,0.9,2.1,38,2.74,27,272,254,837,1.55,0.049,0,41.7,0.5,0.081,0.296,7.1,0.711,0.21,12,0,12,12,,0.48,68,20,20,0,0,0,0,0,0.38,,,,3.655,6.297,2.599,156,74,1 serving,,,33
5314,"CKN,BROILERS/FRYERS,BRST,SKNLS,BNLS,MEAT ONLY,W ADDED SLN,RW",75.59,108,20.32,3,1.36,0,0,0,5,0.34,25,198,332,173,0.63,0.029,0.011,26.4,0,0.068,0.127,7.583,1.23,0.761,8,0,8,8,74.2,0.19,36,11,11,0,0,0,0,0,0.19,0,2,0,0.545,0.673,0.384,64,85,3 oz,263,1 piece,0
5315,"DUCK,YNG DUCKLING,DOM,WH PEKIN,BRST,MEAT&SKN,BNLESS,CKD,RSTD",63.25,202,24.5,10.85,1.15,0,,,8,3.26,,,,84,,,,26.4,2.8,,,7.855,,,,,,,,,,,,,,,,,,,,,2.922,5.428,1.632,136,56,"1 unit,  (yield from 1 lb ready-to-cook duck)",85,3 oz,0
5316,"DUCK,YNG DUCKL,DOM,WH PEKIN,BRST,MEAT,BNLESS,CKD WO/SKN,BRLD",68.25,140,27.6,2.5,1.4,0,,,9,4.49,,,,105,,,,29,3.2,,,10.35,,,,,,,,,,,,,,,,,,,,,0.578,0.871,0.378,143,85,3 oz,95,".5 breast, bone and skin removed",0
5317,"DUCK,YNG DUCKLING,DOM,WH PEKIN,LEG,MEAT&SKN,BONE IN,CKD,RSTD",60.9,217,26.75,11.4,1,0,,,10,2.08,,,,110,,,,21.8,1.5,,,5.77,,,,,,,,,,,,,,,,,,,,,2.975,5.617,1.896,114,92,"1 leg, bone removed (yield after cooking)",43,"1 unit,  (yield from 1 lb ready-to-cook duck)",31
1117,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",85.07,63,5.25,1.55,1.09,7.04,0,7.04,183,0.08,17,144,234,70,0.89,0.013,0.004,3.3,0.8,0.044,0.214,0.114,0.591,0.049,11,0,11,11,15.2,0.56,51,14,14,0,2,0,0,0,0.03,0,1,0.2,1,0.426,0.044,6,170,"1 container,  (6 oz)",227,"1 container,  (8 oz)",0
5318,"DUCK,YNG DUCKL,DOM,WH PEKIN,LEG,MEAT,BONE IN,CKD WO/SKN,BRSD",64.6,178,29.1,5.96,1.1,0,,,10,2.33,,,,108,,,,21.6,2.3,,,5.33,,,,,,,,,,,,,,,,,,,,,1.339,2.637,0.909,105,85,3 oz,174,"1 cup, chopped or diced, cooked",34
5319,"CHICKEN,BROILER,ROTISSERIE,BBQ,DRUMSTK,MEAT ONLY",64.11,172,27.71,6.76,1.8,0,0,0,20,1.05,23,248,291,403,2.86,0.089,,27.4,0,0.065,0.229,5.745,,0.184,9,0,9,9,80.1,0.47,33,10,10,0,0,0,0,0,0.54,0,0,0,1.573,2.827,1.029,155,71,1 drumstick,,,41
5320,"CHICKEN,WING,FRZ,GLAZED,BBQ FLAV,HTD (CONVENTIONAL OVEN)",57.25,242,22.24,14.87,2.28,3.36,0.5,1.94,28,1.97,21,233,218,559,1.3,0,0,34.2,0,0.117,0.26,6.03,0.603,0.183,10,0,10,10,,0.55,69,21,21,0,0,0,0,0,0.44,,,,3.966,6.737,2.838,136,96,1 serving,,,33
5323,"CHICKEN PATTY,FRZ,UNCKD",50.04,292,14.33,20.04,1.98,13.61,1.2,0,20,0.93,25,196,248,518,0.94,0.207,0.254,21.4,0,0.073,0.054,6.63,1.081,0.155,5,0,5,5,44.8,0.23,37,11,11,0,0,0,0,0,1.18,,,11.1,4.013,8.98,5.204,45,60,1 patty,,,0
5324,"CHICKEN PATTY,FRZ,CKD",50.82,287,14.85,19.58,1.92,12.84,0.3,0,19,0.95,24,208,261,532,1.05,0.09,0.26,23.3,0,0.083,0.072,4.764,1.09,0.183,7,0,7,7,33.8,0.29,0,0,0,0,0,0,0,0,1.28,0.3,11,4.2,3.662,8.337,4.805,43,60,1 patty,,,0
5326,"CHICKEN BREAST TENDERS,BREADED,CKD,MICROWAVED",51.34,252,16.35,12.89,1.87,17.56,0,0,14,1,26,216,225,446,0.77,0.316,0.235,30.6,0,0.324,0.098,6.514,0.994,0.037,12,0,12,12,40.8,0.44,0,0,0,0,0,0,0,0,0.37,,,4.2,3.2,5.71,2.79,45,15,1 piece,62,4 pieces,0
5327,"CHICKEN BREAST TENDERS,BREADED,UNCKD",52.74,263,14.73,15.75,1.77,15.01,1.1,0.37,19,1.11,23,211,214,536,0.78,0.205,0.229,24.7,0.8,0.211,0.091,5.71,0.855,0.041,12,0,12,12,96.4,0.27,0,0,0,0,0,0,0,0,0.08,0.2,9,14.7,3.26,6.48,3.34,41,15,1 piece,62,4 pieces,0
5332,"CHICKEN,GROUND,RAW",73.24,143,17.44,8.1,1.17,0.04,0,0,6,0.82,21,178,522,60,1.47,0.065,0.016,10.2,0,0.109,0.241,5.575,1.092,0.512,1,0,1,1,58.8,0.56,0,0,0,0,0,0,0,0,0.27,,,0.8,2.301,3.611,1.508,86,112,"4 oz, crumbled",,,0
5333,"CHICKEN,GROUND,CRUMBLES,CKD,PAN-BROWNED",64.92,189,23.28,10.92,1.57,0,0,0,8,0.93,28,234,677,75,1.92,0.062,0.016,14.3,0,0.121,0.302,7.107,1.327,0.538,2,0,2,2,59,0.51,0,0,0,0,0,0,0,0,0.39,,,2.1,3.11,4.879,2.08,107,85,"3 oz, crumbled",,,0
5334,"CHICKEN,BROILER,ROTISSERIE,BBQ,THIGH,MEAT ONLY",64.35,193,24.09,10.74,1.4,0,0,0,13,0.97,21,216,262,335,2,0.084,,23.1,0,0.055,0.234,5.441,,0.176,8,0,8,8,68,0.45,44,13,13,0,0,0,0,0,0.48,0,0,0,2.777,4.727,1.621,128,95,1 thigh,,,29
1118,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",85.23,56,5.73,0.18,1.18,7.68,0,7.68,199,0.09,19,157,255,77,0.97,0.015,0.005,3.6,0.9,0.048,0.234,0.124,0.641,0.053,12,0,12,12,15.2,0.61,7,2,2,0,0,0,0,0,0,0,0,0.2,0.116,0.049,0.005,2,170,"1 container,  (6 oz)",227,"1 container,  (8 oz)",0
